,FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,med_income,crime_ct,log_reviews,log_business_ct,log_pop,log_crimes
303,538100,2136.0,131500.0,-0.207758,2702,4.438095238095238,0.36972763394380115,21,88500,24.0,7.9017475185201445,3.044522437723423,7.666690200080086,3.1780538303479458
307,577400,3613.0,90500.0,-0.129306,6242,4.094594594594595,0.2831454434735235,37,57386,,8.739055922830724,3.6109179126442243,8.19229373114764,
308,517300,2131.0,204900.0,-1.305329,5771,4.423076923076923,0.3304986444786074,26,36940,86.0,8.660600654710967,3.258096538021482,7.664346632098617,4.454347296253507
309,500200,3037.0,85000.0,-0.561452,3574,4.044,0.23978185200736613,25,48415,84.0,8.181440695719374,3.2188758248682006,8.01862546504575,4.430816798843313
310,516700,3218.0,85400.0,-1.096034,814,4.292857142857143,0.25621471355749825,14,22083,46.0,6.70196036600254,2.6390573296152584,8.076515327552329,3.828641396489095
312,553000,918.0,51000.0,-1.053641,8494,4.124137931034483,0.22905660215199022,58,8594,,9.047115310873217,4.060443010546419,6.822197390620491,
315,555300,3402.0,83700.0,-0.012178,7390,4.198,0.282546911438116,50,41131,,8.907883013942248,3.912023005428146,8.132118772955806,
316,581500,2385.0,104100.0,0.291829,5439,4.2176470588235295,0.32234902294669654,34,65856,,8.60135049942296,3.5263605246161616,7.776954403322442,
317,534800,2205.0,,,2446,4.093333333333333,0.20040409421721167,30,29074,69.0,7.802209316247118,3.4011973816621555,7.6984827878809465,4.23410650459726
319,577000,4419.0,81400.0,-0.3131,8079,3.973684210526316,0.23479815319335356,38,48077,,8.997023381479709,3.6375861597263857,8.39366870513074,
320,514100,1732.0,51100.0,-1.378032,909,4.088888888888889,0.2656122223605279,9,27833,53.0,6.812345094177479,2.1972245773362196,7.4570320891223805,3.970291913552122
323,541000,3775.0,69100.0,-0.994694,3139,4.175,0.22320287036584843,32,47961,82.0,8.051659556841953,3.4657359027997265,8.236155661683124,4.406719247264253
324,536900,3374.0,81700.0,-0.648366,5918,4.208888888888889,0.26300011310637966,45,35938,86.0,8.685753832960154,3.8066624897703196,8.123854263105914,4.454347296253507
326,575200,4389.0,106100.0,0.285578,5849,4.035714285714286,0.29742490397140087,14,68750,,8.674025985443025,2.6390573296152584,8.386856689688234,
328,510600,5499.0,55600.0,-0.918748,2394,4.2631578947368425,0.2842530994124956,19,23171,42.0,7.780720886117918,2.9444389791664403,8.612321536507814,3.7376696182833684
331,573400,5706.0,124700.0,-0.11726,8991,4.059183673469388,0.2937202574461658,49,39922,,9.103979355984773,3.8918202981106265,8.649273531773446,
334,525900,2610.0,,,5165,4.188888888888889,0.23037285323503387,45,34632,66.0,8.549660381553739,3.8066624897703196,7.867105500316739,4.189654742026425
337,574700,4979.0,145000.0,0.441287,4965,4.248,0.3436387421008642,25,96250,,8.510168576479273,3.2188758248682006,8.512984346642183,
338,538600,4758.0,98900.0,-0.38554,3179,4.297058823529412,0.33025049382502153,34,58750,65.0,8.064321960910803,3.5263605246161616,8.467582690862903,4.174387269895637
339,540800,2110.0,83700.0,-0.468828,2329,4.052631578947368,0.21072794859155072,19,54901,38.0,7.753194269884341,2.9444389791664403,7.6544432264701125,3.6375861597263857
340,545500,3878.0,61900.0,-0.987392,4061,4.2575,0.27426932535934595,40,25529,90.0,8.309184527686298,3.6888794541139363,8.263074835802596,4.499809670330265
341,554800,3611.0,119900.0,-0.072281,13648,4.1245901639344265,0.3192926090173078,61,97500,10.0,9.52134826973146,4.110873864173311,8.191740021277457,2.302585092994046
342,505400,1927.0,56200.0,-1.273659,2596,4.120833333333334,0.21298987245427944,24,40777,116.0,7.86172707782398,3.1780538303479458,7.563719668414366,4.7535901911063645
344,536300,2736.0,59600.0,-0.781478,1579,4.3478260869565215,0.2725545306918286,23,39044,85.0,7.364547014255642,3.1354942159291497,7.914252278742441,4.442651256490317
345,513200,1504.0,51200.0,-0.838663,1514,4.493333333333334,0.2740234572654024,15,34500,21.0,7.322510433997394,2.70805020110221,7.315883504509785,3.044522437723423
347,511900,1559.0,62500.0,-1.389126,11410,4.143636363636364,0.25402545543169686,55,42679,65.0,9.342245442856122,4.007333185232471,7.351799869057777,4.174387269895637
348,584300,2054.0,130500.0,-0.046314,8581,4.15483870967742,0.2816808988242621,62,60000,,9.057305735807121,4.127134385045092,7.627544390488503,
349,506700,1023.0,66200.0,-0.749324,2530,3.91875,0.28405167108401347,16,36691,24.0,7.835974581721566,2.772588722239781,6.930494765951626,3.1780538303479458
352,551100,5347.0,283700.0,0.909993,645,3.825,0.2805863535062802,8,152727,,6.4692503167957724,2.0794415416798357,8.584290934948731,
353,540100,3201.0,76600.0,-0.625552,3068,4.09375,0.23891109187857312,16,26250,76.0,8.028781162487148,2.772588722239781,8.071218539969863,4.330733340286331
354,554900,3352.0,108300.0,0.029978,331,4.111111111111111,0.2140290413791921,9,60341,,5.802118375377063,2.1972245773362196,8.117312461601975,
356,985300,220.0,0.0,-1.972145,9423,3.9846153846153842,0.24956705734416176,26,36985,15.0,9.150908788206756,3.258096538021482,5.393627546352362,2.70805020110221
357,514500,861.0,38500.0,-1.110505,69,4.75,0.28731076754385965,4,20119,24.0,4.23410650459726,1.3862943611198906,6.7580945044277305,3.1780538303479458
358,509000,1975.0,,,5853,4.270588235294118,0.27039887076946784,34,30000,93.0,8.67470962929122,3.5263605246161616,7.5883236773352225,4.532599493153256
359,545600,5319.0,66600.0,-0.866901,5594,4.284090909090909,0.31633750940249183,44,31071,44.0,8.629449873761905,3.784189633918261,8.579040594742317,3.784189633918261
362,507500,2221.0,54200.0,-0.941789,3372,3.9952380952380957,0.21655116238983213,21,29464,76.0,8.123261319121745,3.044522437723423,7.7057128238944275,4.330733340286331
365,524200,4366.0,67000.0,-1.038219,6440,4.3963636363636365,0.2666911828456264,55,27130,27.0,8.770283819098399,4.007333185232471,8.38160253710989,3.295836866004329
366,552400,3524.0,55000.0,-0.918648,4230,4.269230769230769,0.27319026327329365,26,44583,,8.349957272040324,3.258096538021482,8.16735198705607,
367,526100,2753.0,69600.0,-0.885702,629,3.85,0.17923752192279332,6,22292,19.0,6.444131256700441,1.791759469228055,7.920446505142607,2.9444389791664403
368,541500,3625.0,108200.0,-0.293781,3540,3.7066666666666666,0.19088845885489517,15,34201,29.0,8.17188200612782,2.70805020110221,8.195609567288775,3.367295829986474
369,550700,5817.0,232600.0,0.90956,7535,4.228205128205128,0.3449201665920635,39,144795,,8.927314111060596,3.6635616461296463,8.668539943910762,
371,573000,3340.0,217000.0,0.476562,4312,4.244,0.3133704131435601,25,110625,,8.369157112588834,3.2188758248682006,8.113726085970747,
374,538500,5184.0,108100.0,-0.380464,5404,4.324137931034483,0.26530964138627405,29,42500,113.0,8.59489469908009,3.367295829986474,8.55333223803211,4.727387818712341
375,523300,2914.0,54000.0,-0.891503,8097,4.386111111111111,0.3099765178748662,36,38951,33.0,8.999248901686114,3.58351893845611,7.97728198675515,3.4965075614664802
376,538200,1972.0,310600.0,0.185852,4903,4.266666666666667,0.36855794393429736,30,161250,30.0,8.497602541651233,3.4011973816621555,7.586803535162581,3.4011973816621555
377,584200,3619.0,118000.0,-0.687044,6951,3.9825000000000004,0.2757440925608713,40,49236,,8.846640813100485,3.6888794541139363,8.193953023563742,
378,543000,1778.0,152800.0,0.253814,4861,4.317948717948718,0.3455084681827253,39,59521,43.0,8.488999457045455,3.6635616461296463,7.48324441607385,3.7612001156935624
379,540600,3274.0,83500.0,-0.512275,1968,4.176923076923076,0.2762939931072602,13,46563,46.0,7.584773077612199,2.5649493574615367,8.09376775793108,3.828641396489095
380,523100,1336.0,44600.0,-1.012765,1851,4.1450000000000005,0.22403488139074126,20,25833,28.0,7.523481312573497,2.995732273553991,7.197435354096591,3.332204510175204
381,500900,3706.0,67500.0,-0.884419,1176,3.8272727272727276,0.17538879908018798,11,20233,125.0,7.069874128458572,2.3978952727983707,8.217708406845306,4.8283137373023015
382,551500,2441.0,104200.0,0.03246,577,4.2,0.27333472188966323,10,43487,,6.3578422665081,2.302585092994046,7.80016307039296,
383,501800,4117.0,94700.0,-0.165999,1542,4.252941176470588,0.2811005801644095,17,36992,52.0,7.340835554123275,2.833213344056216,8.322880021769905,3.9512437185814275
384,535000,2411.0,71700.0,-1.130909,1277,4.228571428571429,0.24788586837169388,21,35887,70.0,7.152268856032539,3.044522437723423,7.787796878181171,4.248495242049359
387,576600,4361.0,130500.0,0.5182,341,4.422222222222222,0.3547485548815814,9,90263,,5.831882477283517,2.1972245773362196,8.380456667842767,
388,578000,2668.0,96200.0,-0.026346,2272,4.177777777777778,0.31127165266538814,18,76438,,7.7284157798410416,2.8903717578961645,7.889084407035514,
389,518000,2280.0,144400.0,-0.594396,14737,4.467741935483871,0.3584270082664486,31,62697,70.0,9.598116617213263,3.4339872044851463,7.731930721948486,4.248495242049359
391,538300,2162.0,191200.0,-0.822489,2333,4.1466666666666665,0.30283185518993677,15,50239,69.0,7.75491027202143,2.70805020110221,7.6787889981991535,4.23410650459726
393,538800,1549.0,86200.0,-0.327597,1519,4.235714285714286,0.2647054265633332,14,52938,35.0,7.325807502595773,2.6390573296152584,7.3453648404168685,3.5553480614894135
394,537700,2874.0,86600.0,-0.671162,742,4.257142857142857,0.2264216935766468,7,47963,83.0,6.60934924316738,1.9459101490553132,7.96346006663897,4.418840607796598
396,522300,1193.0,44700.0,-1.246503,1181,4.126315789473685,0.22595052775416047,19,23482,63.0,7.074116816197362,2.9444389791664403,7.084226422097916,4.143134726391533
397,500300,2149.0,72800.0,-0.830523,3926,4.0,0.19361178101296614,20,43375,117.0,8.275376374836407,2.995732273553991,7.67275789664251,4.762173934797756
398,501000,2945.0,74300.0,-0.696658,545,4.044444444444444,0.17666336340016986,9,31951,101.0,6.300785794663244,2.1972245773362196,7.987864096085687,4.61512051684126
399,555500,3050.0,116800.0,0.152238,8365,4.086046511627907,0.263792744121323,43,61222,,9.031811613420924,3.7612001156935624,8.022896869601457,
401,544000,2534.0,71600.0,-0.388987,197,4.16,0.12261994324970131,5,42917,78.0,5.2832037287379885,1.6094379124341003,7.837554360881084,4.356708826689592
402,541700,2538.0,88600.0,-0.685106,2356,3.911764705882353,0.2706606474397583,17,31563,33.0,7.764720544771477,2.833213344056216,7.839131648274333,3.4965075614664802
403,584000,4670.0,113300.0,-0.176861,5604,4.231428571428571,0.3075726105877795,35,64375,,8.631235907456897,3.5553480614894135,8.448914350662942,
404,522000,1789.0,51900.0,-0.831418,1790,4.104347826086957,0.24371811888006203,23,25986,37.0,7.489970898834801,3.1354942159291497,7.489412083508719,3.6109179126442243
406,543100,2455.0,114300.0,-0.010785,1610,4.294117647058823,0.3354088968091657,17,50737,15.0,7.383989457978509,2.833213344056216,7.805882040228621,2.70805020110221
407,536200,2165.0,70800.0,-0.348572,3880,4.168,0.22583883987101738,25,47857,41.0,8.263590432617319,3.2188758248682006,7.68017564043659,3.713572066704308
409,500100,3996.0,80300.0,-0.759316,1564,4.192857142857142,0.2717772982866445,14,41362,76.0,7.355001921105257,2.6390573296152584,8.293049139768444,4.330733340286331
410,526200,3026.0,53900.0,-1.135323,1926,4.24,0.21567633700721398,10,40431,13.0,7.563200592358071,2.302585092994046,8.014996894348302,2.5649493574615367
411,579200,3060.0,54100.0,-1.11435,7251,4.3028571428571425,0.29194346178615593,35,45069,,8.888894669371593,3.5553480614894135,8.026170194946426,
415,580600,3105.0,118600.0,-0.085931,2623,4.377419354838709,0.3001121107904937,31,61152,,7.872073979866873,3.4339872044851463,8.040768994367578,
416,531200,2242.0,82900.0,-0.390602,334,4.333333333333333,0.28020811372269705,3,145278,43.0,5.811140992976701,1.0986122886681098,7.715123603632105,3.7612001156935624
418,577300,3386.0,85000.0,-0.176735,14612,4.074,0.24266901832268192,50,67554,,9.589598387915172,3.912023005428146,8.12740456269308,
419,530500,2253.0,94100.0,-0.836419,946,4.2625,0.299555757256551,8,37750,34.0,6.852242569051878,2.0794415416798357,7.720017940432244,3.5263605246161616
421,526300,3345.0,50000.0,-1.001476,1032,4.3999999999999995,0.22685479119126284,17,38448,21.0,6.939253946041508,2.833213344056216,8.11522197256233,3.044522437723423
422,519100,1037.0,,,2347,4.2631578947368425,0.291063791800724,19,26250,23.0,7.760893195851024,2.9444389791664403,6.9440872082295275,3.1354942159291497
423,503400,886.0,61800.0,-0.642034,3760,4.133333333333333,0.2052034130404691,21,34784,82.0,8.23217423638394,3.044522437723423,6.786716950605081,4.406719247264253
426,501400,3624.0,86400.0,-0.321899,7404,4.108510638297872,0.25213685685460896,47,49012,62.0,8.909775673693389,3.8501476017100584,8.19533366716287,4.127134385045092
427,539200,4863.0,83100.0,-0.245383,7064,4.094285714285714,0.2611449764777,35,37171,102.0,8.862766742283796,3.5553480614894135,8.489410810403786,4.624972813284271
428,554100,4247.0,75000.0,-0.04834,2195,4.2266666666666675,0.31057574611833694,15,50250,1.0,7.693937325509272,2.70805020110221,8.353968130313271,0.0
430,554600,3756.0,97800.0,-0.033501,1493,4.265,0.3379679880074967,20,80125,,7.30854279753919,2.995732273553991,8.231109840328154,
431,575500,4184.0,124900.0,0.285936,1490,4.3500000000000005,0.3744827589717037,12,63068,,7.306531398939505,2.4849066497880004,8.339023005744759,
433,985100,154.0,0.0,-0.761795,637,4.138461538461538,0.2964735563625027,13,53750,11.0,6.456769655572163,2.5649493574615367,5.0369526024136295,2.3978952727983707
434,579700,2966.0,65100.0,-0.719247,1438,4.183333333333334,0.2639792055347998,12,33676,,7.271008538280992,2.4849066497880004,7.994969522697877,
435,572500,1906.0,85700.0,-0.124115,894,4.115384615384615,0.2899132031591608,13,54938,,6.795705775173514,2.5649493574615367,7.552762084214147,
436,535300,3950.0,69600.0,-0.506253,3052,4.24375,0.2730929833945198,32,33277,96.0,8.023552392404348,3.4657359027997265,8.281470857895167,4.564348191467836
438,540900,3420.0,91600.0,-0.243811,9812,4.06764705882353,0.23617625726605126,34,53828,45.0,9.19136140537838,3.5263605246161616,8.13739583005665,3.8066624897703196
439,544100,2222.0,93100.0,-0.531418,1006,4.086666666666667,0.3046608931282654,15,27880,45.0,6.913737350659685,2.70805020110221,7.706162970199576,3.8066624897703196
440,583300,2562.0,88500.0,-0.027053,22942,4.024137931034483,0.24710163837716237,58,63523,,10.040724570841213,4.060443010546419,7.848543482456679,
441,507300,2285.0,48400.0,-0.942186,861,4.390909090909091,0.2999644373690277,11,39292,67.0,6.7580945044277305,2.3978952727983707,7.734121303328305,4.204692619390966
442,537000,3334.0,78200.0,-0.767665,1974,3.9428571428571426,0.19514253348513852,21,24931,91.0,7.587817219993427,3.044522437723423,8.111928063310739,4.51085950651685
443,501100,3328.0,75200.0,-1.356753,1403,4.311764705882353,0.29344890783553523,17,33189,128.0,7.246368080102461,2.833213344056216,8.1101268019411,4.852030263919617
444,525800,1781.0,48200.0,-0.967444,8541,4.084375,0.20418408754960554,32,38438,36.0,9.052633375946147,3.4657359027997265,7.484930283289661,3.58351893845611
445,533800,1921.0,,,878,4.1875,0.23247826250693074,8,24783,49.0,6.777646593635117,2.0794415416798357,7.560601162768557,3.8918202981106265
447,534200,2991.0,63300.0,-0.731493,416,4.2,0.20180132654892938,13,21167,88.0,6.030685260261263,2.5649493574615367,8.003363058629947,4.477336814478207
450,572900,2660.0,93000.0,0.163608,1902,4.172727272727273,0.2721913978631476,11,53707,,7.550661243105336,2.3978952727983707,7.886081401775745,
451,572700,4624.0,98600.0,0.143932,12520,4.164179104477612,0.286141721923308,67,67716,,9.43508264465409,4.204692619390966,8.439015410352214,
452,571000,2245.0,55800.0,-0.653772,41,3.733333333333333,0.07269619047619047,3,58162,,3.713572066704308,1.0986122886681098,7.716460800176355,
453,501200,1609.0,56800.0,-1.12909,217,4.42,0.24458868722463684,5,48393,60.0,5.37989735354046,1.6094379124341003,7.3833681469923835,4.0943445622221
457,535100,1717.0,74100.0,-0.424542,733,3.953333333333333,0.18893277577301246,15,32500,69.0,6.597145701886651,2.70805020110221,7.448333860897476,4.23410650459726
459,579600,3318.0,65700.0,-0.634232,330,4.336363636363637,0.23009239311450144,11,71852,,5.799092654460526,2.3978952727983707,8.10711747075039,
460,577600,4006.0,92800.0,-0.010388,991,4.522222222222222,0.3159928068337906,9,76250,,6.898714534329988,2.1972245773362196,8.295548516225763,
461,542200,3644.0,78700.0,-0.823676,1913,4.17,0.2340864815819979,10,24250,45.0,7.556427969440253,2.302585092994046,8.200837258379849,3.8066624897703196
462,539100,1788.0,59000.0,-0.797942,1519,4.2272727272727275,0.2341393616036412,11,34028,42.0,7.325807502595773,2.3978952727983707,7.488852955733459,3.7376696182833684
463,515400,1358.0,253000.0,0.081627,801,4.6,0.4600935282768142,15,106583,32.0,6.68586094706836,2.70805020110221,7.213768308118642,3.4657359027997265
464,531800,1500.0,50400.0,-0.934684,1344,4.066666666666666,0.18905038938335172,12,11167,46.0,7.203405521083095,2.4849066497880004,7.313220387090301,3.828641396489095
466,504400,1416.0,83200.0,-1.061096,325,4.16,0.20386726579396058,5,20048,64.0,5.783825182329737,1.6094379124341003,7.255591274253665,4.1588830833596715
468,579300,2430.0,66200.0,-1.065577,134,4.18,0.16322423391812865,5,19783,,4.897839799950911,1.6094379124341003,7.795646536334594,
469,531400,1518.0,62000.0,-1.173511,907,4.271428571428571,0.30296380309771653,7,34915,42.0,6.810142450115136,1.9459101490553132,7.325148957955575,3.7376696182833684
472,530200,3546.0,85000.0,-0.569479,4211,4.06875,0.23601621554882557,16,36667,53.0,8.345455428161928,2.772588722239781,8.173575486634153,3.970291913552122
473,516000,2235.0,56500.0,-1.207122,821,4.341176470588235,0.2588484926216557,17,50129,50.0,6.710523109452428,2.833213344056216,7.711996507047669,3.912023005428146
476,554700,3297.0,143300.0,-0.061879,2420,4.115384615384615,0.18766747917259063,13,104479,,7.791522819150732,2.5649493574615367,8.10076824307173,
477,501700,2218.0,65700.0,-1.328054,6762,4.171052631578948,0.274100612348831,38,30750,51.0,8.819073983267831,3.6375861597263857,7.704361167910313,3.9318256327243257
480,537200,583.0,69900.0,-0.484348,4033,4.091304347826087,0.226125227171416,23,16328,44.0,8.302265794873367,3.1354942159291497,6.368187186350492,3.784189633918261
481,542300,2255.0,83200.0,-0.606347,6559,4.008333333333334,0.2247036672070672,36,25557,58.0,8.788593431293735,3.58351893845611,7.720905251936779,4.060443010546419
484,537300,1987.0,72700.0,-0.653691,1235,4.055555555555555,0.20979441579316696,18,40875,50.0,7.118826249062078,2.8903717578961645,7.594381242551817,3.912023005428146
485,520400,1940.0,90000.0,-0.853299,6374,4.39,0.34972728757387084,30,35509,31.0,8.759982494977281,3.4011973816621555,7.570443252057374,3.4339872044851463
486,536100,3327.0,57800.0,-0.846574,2761,4.1000000000000005,0.2297894526153842,19,26750,62.0,7.923348211930154,2.9444389791664403,8.109826276018477,4.127134385045092
488,502000,1858.0,58500.0,-1.031841,1541,4.333333333333333,0.23796836142234354,12,34306,37.0,7.340186835320115,2.4849066497880004,7.527255919373784,3.6109179126442243
490,537100,1946.0,74100.0,-0.572163,2690,4.011111111111111,0.30355710017713455,27,30859,52.0,7.897296472595885,3.295836866004329,7.57353126274595,3.9512437185814275
491,546600,1996.0,81700.0,-0.723672,262,4.5,0.31202806861901694,4,31250,43.0,5.568344503761097,1.3862943611198906,7.59890045687141,3.7612001156935624
492,517100,1552.0,53400.0,-0.649669,635,4.1571428571428575,0.29507494282946584,7,54107,27.0,6.453624998892692,1.9459101490553132,7.347299700743164,3.295836866004329
493,505600,4078.0,,,1021,4.036363636363636,0.20509987568550087,11,38583,178.0,6.928537818164665,2.3978952727983707,8.3133619511344,5.181783550292085
495,535700,1313.0,81400.0,-0.893963,935,3.925,0.24194814306642068,8,40625,35.0,6.840546529288687,2.0794415416798357,7.180069874302796,3.5553480614894135
497,539700,2072.0,106600.0,-0.525702,2100,3.9894736842105263,0.17704579213848687,19,26563,38.0,7.649692623711514,2.9444389791664403,7.6362696033793735,3.6375861597263857
498,543900,785.0,80000.0,-1.379142,436,4.159999999999999,0.3182409400359697,5,26448,16.0,6.077642243349034,1.6094379124341003,6.665683717782408,2.772588722239781
499,527900,1835.0,,,293,4.5600000000000005,0.2969676222431309,10,22115,33.0,5.680172609017068,2.302585092994046,7.51479976048867,3.4965075614664802
500,511400,2005.0,51700.0,-0.771499,1142,4.311111111111111,0.330944885909606,18,31269,60.0,7.040536390215956,2.8903717578961645,7.60339933974067,4.0943445622221
501,551600,4237.0,78000.0,-0.304733,1056,4.13125,0.2275015221875426,16,29804,,6.962243464266207,2.772588722239781,8.351610750626559,
503,573100,4820.0,206100.0,0.244444,65,4.36,0.28165712121212116,5,73750,,4.174387269895637,1.6094379124341003,8.480529207044645,
504,555600,2687.0,113200.0,0.203929,254,4.5,0.4595368104522792,4,67361,,5.537334267018537,1.3862943611198906,7.8961806086154915,
505,523200,3247.0,64900.0,-0.686782,8947,4.208571428571429,0.2338135963143611,35,42697,34.0,9.099073559547596,3.5553480614894135,8.085486772102845,3.5263605246161616
507,501900,2490.0,98700.0,-0.827302,165,4.15,0.2181816690374585,4,21304,46.0,5.10594547390058,1.3862943611198906,7.820037989458753,3.828641396489095
508,533200,1104.0,57900.0,-0.951711,553,4.466666666666667,0.1933591437513973,3,9735,30.0,6.315358001522335,1.0986122886681098,7.00669522683704,3.4011973816621555
509,579100,1734.0,48000.0,-1.079004,816,4.08,0.22202383988083677,15,31823,,6.704414354964107,2.70805020110221,7.458186157340487,
511,513300,1971.0,90100.0,-0.858863,1704,4.438461538461539,0.2935917263731548,13,51771,19.0,7.440733707389261,2.5649493574615367,7.58629630715272,2.9444389791664403
512,546000,2925.0,70700.0,-0.828256,2379,4.066666666666666,0.22510336690241092,15,30708,69.0,7.774435510302958,2.70805020110221,7.981049759665957,4.23410650459726
514,543400,3132.0,90800.0,-0.543985,954,4.25,0.23187584220521937,6,46250,50.0,6.860663671448287,1.791759469228055,8.049427057110695,3.912023005428146
515,521800,1466.0,0.0,-0.775197,48,3.4,0.11615625,1,55952,19.0,3.871201010907891,0.0,7.290292882446597,2.9444389791664403
517,503300,3407.0,65900.0,-0.833442,1355,3.8083333333333336,0.1465857713174302,12,38917,150.0,7.2115567333138015,2.4849066497880004,8.133587417660966,5.0106352940962555
518,504000,1093.0,91100.0,-0.849255,78,4.266666666666667,0.23000977668845315,3,33087,29.0,4.356708826689592,1.0986122886681098,6.996681488176539,3.367295829986474
519,514200,1828.0,54300.0,-0.870422,1532,4.3,0.2243431767675115,11,97656,23.0,7.3343293503005365,2.3978952727983707,7.510977752014095,3.1354942159291497
520,538400,3330.0,191500.0,0.260376,5974,3.982142857142857,0.20742792086447956,28,74524,40.0,8.695171998776056,3.332204510175204,8.110727582974489,3.6888794541139363
521,541800,2533.0,91700.0,-0.460059,2412,4.15,0.23054422766603772,16,47912,61.0,7.788211557847076,2.772588722239781,7.837159650001675,4.110873864173311
523,537500,2714.0,85100.0,-0.76516,296,4.266666666666667,0.14339077727953636,6,31312,78.0,5.69035945432406,1.791759469228055,7.906178840394815,4.356708826689592
525,500800,2569.0,83100.0,-0.639033,177,4.4,0.26820792495711837,5,31510,61.0,5.176149732573829,1.6094379124341003,7.851271997109883,4.110873864173311
528,580300,2765.0,102000.0,0.152009,590,3.78,0.20870019349236896,10,77443,,6.380122536899765,2.302585092994046,7.9247959139564355,
529,503900,1730.0,49400.0,-1.086985,2688,3.983333333333333,0.2078040489482632,12,30326,34.0,7.89655270164304,2.4849066497880004,7.455876687491824,3.5263605246161616
531,500500,1507.0,53500.0,-0.764662,1611,4.04,0.14514086317094435,5,42333,77.0,7.384610383176974,1.6094379124341003,7.317876198626496,4.343805421853684
533,574800,4588.0,223500.0,0.742081,75,4.2,0.31226800000000005,1,120469,,4.31748811353631,0.0,8.431199478249262,
534,553200,572.0,62500.0,-1.185032,153,3.7400000000000007,0.21778322724445368,5,16074,2.0,5.030437921392435,1.6094379124341003,6.349138991379798,0.6931471805599453
535,550300,3541.0,356300.0,1.288308,599,4.633333333333333,0.37758453833164235,6,188750,,6.395261598115449,1.791759469228055,8.172164452111904,
537,533100,1388.0,76000.0,-1.049504,1436,4.175,0.23995436397947117,8,26726,34.0,7.269616749608169,2.0794415416798357,7.23561914106675,3.5263605246161616
539,572400,1512.0,89800.0,-0.251829,2011,3.776923076923077,0.23433626510712263,13,94375,,7.606387389772652,2.5649493574615367,7.321188556739478,
540,543700,1785.0,58400.0,-1.227472,1495,4.46,0.3266704144168842,5,19722,50.0,7.3098814858247865,1.6094379124341003,7.487173694213739,3.912023005428146
541,583500,2695.0,98800.0,0.153255,1889,4.4,0.3057914959983416,8,86987,,7.543802867501509,2.0794415416798357,7.899153483343097,
542,532700,558.0,62000.0,-1.427213,8,4.5,0.496625,1,26466,12.0,2.0794415416798357,0.0,6.324358962381311,2.4849066497880004
543,550100,3945.0,319300.0,0.893187,1220,4.577777777777778,0.368840474189237,9,100849,,7.106606137727303,2.1972245773362196,8.280204233279974,
544,533600,1390.0,51200.0,-0.773368,26,4.6,0.36963076923076926,1,30938,45.0,3.258096538021482,0.0,7.237059026124737,3.8066624897703196
546,571900,3035.0,131400.0,0.173564,541,4.25,0.27278778966379547,2,50231,,6.293419278846481,0.6931471805599453,8.017966703493599,
3,268000,,101600.0,-0.116042,6272,4.061224489795919,0.28307458680219655,49,48948,,8.743850562030243,3.8918202981106265,,
4,981901,,,,1557,4.016666666666667,0.1283335905504149,18,48137,,7.350516171833998,2.8903717578961645,,
5,574301,,,,19038,4.001818181818182,0.27611284703280287,55,47967,,9.854192260811251,4.007333185232471,,
6,571500,5226.0,113400.0,0.022303,4147,4.258823529411765,0.32356492629928923,34,51695,6.0,8.330140460246382,3.5263605246161616,8.561401446080557,1.791759469228055
7,173000,,93700.0,0.005361,14828,4.372549019607843,0.37037450912570746,102,51009,,9.604272564270623,4.624972813284271,,
8,175100,,76300.0,-0.388024,15809,4.098275862068966,0.28311523730345095,58,49301,,9.668334677096187,4.060443010546419,,
9,258100,,100200.0,-0.308161,5211,4.280851063829787,0.3568519349025341,47,51599,,8.558527054909215,3.8501476017100584,,
10,524001,,,,5870,4.216129032258064,0.20750384357241794,31,48850,36.0,8.677609912822142,3.4339872044851463,,3.58351893845611
11,984100,4.0,,,762,4.4714285714285715,0.24955796392767635,7,58096,,6.635946555686647,1.9459101490553132,1.3862943611198906,
15,160000,,175900.0,0.417248,5522,4.328846153846154,0.37632826984571577,52,62480,,8.6164953924901,3.9512437185814275,,
18,171000,,142700.0,0.328735,7629,4.345614035087719,0.3335190319845774,57,36974,,8.93971205409023,4.04305126783455,,
19,263600,,66900.0,-0.450145,9937,4.0864406779661016,0.30320022119637113,59,50240,27.0,9.204020443231363,4.07753744390572,,3.295836866004329
20,263900,,69400.0,-0.67329,4257,4.18125,0.3133803062386322,32,50264,,8.356319965828153,3.4657359027997265,,
21,264000,,77700.0,-0.471804,1521,4.1125,0.26154947244309906,24,50896,9.0,7.327123292259293,3.1780538303479458,,2.1972245773362196
24,511200,1188.0,51600.0,-0.983807,6001,4.447222222222222,0.36234872494948783,36,44241,35.0,8.699681400989514,3.58351893845611,7.080026499922591,3.5553480614894135
26,161900,,116800.0,0.373298,4973,4.0125,0.29233628917399124,40,56864,,8.511778558714738,3.6888794541139363,,
32,184200,,174100.0,0.437175,11460,4.139130434782609,0.36761200055292087,46,57956,,9.346617990268731,3.828641396489095,,
35,553800,1370.0,55100.0,-0.807076,2624,4.104166666666667,0.20593760196132105,24,49463,,7.8724551500639794,3.1780538303479458,7.222566018822171,
38,533400,2215.0,72300.0,-0.890928,2595,4.0200000000000005,0.20350477863639987,20,50181,40.0,7.861341795599989,2.995732273553991,7.703007682479236,3.6888794541139363
