,FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,med_income,crime_ct,log_reviews,log_business_ct,log_pop,log_crimes
58,554400,3404.0,86400.0,0.039979,1826,4.335,0.39884801282609134,20,88111,,7.509883061154913,2.995732273553991,8.132706489693264,
62,550600,2696.0,555400.0,1.228106,234,4.76,0.5285531671545958,5,230417,,5.455321115357702,1.6094379124341003,7.899524472032198,
63,550500,4030.0,327400.0,0.893553,1214,4.5360000000000005,0.396973597643995,25,159583,,7.101675971619444,3.2188758248682006,8.301521654940728,
64,551200,3982.0,176000.0,0.778321,12621,4.417441860465116,0.36138148072054244,86,135694,,9.44311737225863,4.454347296253507,8.289539484624141,
66,577900,4206.0,90100.0,0.054994,8340,4.231914893617021,0.32794082529958846,47,48750,,9.028818495352793,3.8501476017100584,8.344267356262645,
70,576200,2566.0,143700.0,0.204533,3878,4.319999999999999,0.32319226225158665,30,78000,,8.263074835802596,3.4011973816621555,7.850103545175582,
71,583900,4056.0,116100.0,-0.10998,10437,3.983333333333333,0.26600337475221353,48,50944,,9.253112463820052,3.871201010907891,8.30795254527102,
73,576400,3596.0,131000.0,0.335113,19491,4.3495495495495495,0.3778113886038684,111,92500,,9.877708099548641,4.709530201312334,8.18757739559151,
75,508100,1271.0,44000.0,-1.277639,2473,3.957692307692308,0.23640651107130378,26,16600,67.0,7.813187267521416,3.258096538021482,7.147559271189454,4.204692619390966
78,515200,1315.0,45000.0,-0.553436,830,4.269230769230769,0.261483814984121,13,30893,30.0,6.721425700790643,2.5649493574615367,7.181591944611865,3.4011973816621555
79,547100,4714.0,,,6156,3.9902439024390244,0.2158209237316454,41,22170,148.0,8.72518249495877,3.713572066704308,8.458292083496076,4.997212273764115
81,584400,3166.0,116000.0,-0.12061,7856,4.121428571428572,0.24056447496410116,28,49031,,8.969032850034301,3.332204510175204,8.060224240440958,
82,583200,2924.0,75900.0,-0.299405,3608,4.142307692307693,0.30847228697860984,26,42269,,8.190908881182514,3.258096538021482,7.980707820869669,
83,526400,1417.0,46700.0,-0.881032,711,4.0,0.21047291479604385,10,56053,7.0,6.566672429803241,2.302585092994046,7.256297239690681,1.9459101490553132
84,583700,3705.0,111000.0,-0.141558,6296,4.037142857142857,0.2778167728577247,35,74050,,8.74766979009724,3.5553480614894135,8.217438537730187,
85,576700,3649.0,153800.0,0.488912,2734,4.345454545454545,0.31173660377439827,22,97917,,7.913521017283895,3.091042453358316,8.202208436436448,
88,524700,3768.0,67500.0,-0.6942,2424,4.351851851851852,0.3025488438057501,27,41955,67.0,7.793174347189205,3.295836866004329,8.234299635696253,4.204692619390966
89,524600,1401.0,,,4432,4.105882352941177,0.25666939566970937,51,16410,22.0,8.39660622842712,3.9318256327243257,7.244941546337007,3.091042453358316
92,521100,1544.0,55000.0,-0.862036,21452,4.274074074074075,0.27141293087314444,54,39602,30.0,9.973573160102816,3.9889840465642745,7.342131730584722,3.4011973816621555
93,524300,2626.0,57900.0,-0.99083,1877,4.429411764705883,0.2729080299052353,17,41504,33.0,7.537430036586509,2.833213344056216,7.873217054862741,3.4965075614664802
96,523800,3759.0,59600.0,-0.928601,3785,4.204545454545454,0.2222825188261919,22,53359,35.0,8.23880116587155,3.091042453358316,8.231908243564177,3.5553480614894135
97,506100,1875.0,70900.0,-0.878444,3608,4.220833333333333,0.2917189306827402,24,28125,59.0,8.190908881182514,3.1780538303479458,7.536363938404511,4.07753744390572
98,503500,2709.0,69100.0,-1.292596,3531,4.085,0.2002409351027385,20,44717,98.0,8.169336395928386,2.995732273553991,7.904334842085095,4.584967478670572
100,574000,6694.0,98100.0,-0.480613,16816,4.1883928571428575,0.32886850405912005,112,46085,,9.730086093116732,4.718498871295094,8.808966881771273,
102,505800,3337.0,,,1425,3.8942857142857146,0.13507074631771457,35,24906,51.0,7.261927092702751,3.5553480614894135,8.112827478751374,3.9318256327243257
104,506900,3579.0,66600.0,-0.664621,2321,4.153846153846154,0.2210452019819413,13,32981,61.0,7.749753406274437,2.5649493574615367,8.182838710766026,4.110873864173311
105,531900,866.0,53200.0,-1.5527,1238,4.3,0.3082054577854249,12,26368,42.0,7.121252453244542,2.4849066497880004,6.763884908562435,3.7376696182833684
106,533900,3356.0,140500.0,-0.648512,16590,4.038392857142857,0.26540605105074483,112,61250,114.0,9.71655538318449,4.718498871295094,8.118505067587098,4.736198448394496
107,536600,2535.0,46500.0,-0.72307,2197,4.0360000000000005,0.2327070844453199,25,32597,59.0,7.69484807238461,3.2188758248682006,7.837948916025283,4.07753744390572
110,521900,2943.0,121700.0,-0.6242,7085,4.3612244897959185,0.3103370279353393,49,86518,95.0,8.865735152124781,3.8918202981106265,7.987184748233473,4.553876891600541
111,509100,4563.0,,,2370,4.178947368421053,0.23260327802389624,38,49563,50.0,7.7706452341291765,3.6375861597263857,8.425735580927402,3.912023005428146
112,577700,2437.0,104800.0,0.31025,1466,4.521428571428571,0.40594623375252664,14,66089,,7.290292882446597,2.6390573296152584,7.798523053625206,
113,545800,5518.0,55700.0,-0.747343,2081,4.184210526315789,0.2406178158719981,19,28438,126.0,7.640603826393634,2.9444389791664403,8.615770754777232,4.836281906951478
115,530900,1698.0,49800.0,-1.212135,593,4.1230769230769235,0.18284142818974197,13,34435,37.0,6.385194398997726,2.5649493574615367,7.437206366871292,3.6109179126442243
119,500400,751.0,48800.0,-1.483277,3441,3.963636363636364,0.2132932564874961,22,31827,37.0,8.14351740579748,3.091042453358316,6.621405651764134,3.6109179126442243
120,525700,4403.0,48900.0,-0.71755,4052,4.385714285714286,0.25084973427847135,35,43255,31.0,8.306965865368573,3.5553480614894135,8.390041405755754,3.4339872044851463
125,503600,1476.0,63900.0,-0.982329,483,4.216666666666667,0.15074911531142673,6,33531,54.0,6.180016653652572,1.791759469228055,7.297091005160418,3.9889840465642745
126,519000,1091.0,,,3154,4.138709677419355,0.2620136169950894,31,44196,56.0,8.056426767522984,3.4339872044851463,6.994849985833071,4.02535169073515
127,572200,7155.0,139400.0,0.084889,9436,4.085714285714285,0.3110161057984029,42,65750,,9.152287440527566,3.7376696182833684,8.875566691990551,
128,540300,3746.0,68300.0,-0.47287,1845,3.82,0.18489743128850328,15,38750,79.0,7.520234556474628,2.70805020110221,8.228443883004033,4.3694478524670215
130,526000,3043.0,54900.0,-1.118431,3033,4.256818181818182,0.2508572208698852,44,30603,25.0,8.017307507688582,3.784189633918261,8.02059914989697,3.2188758248682006
131,580400,2594.0,105100.0,0.325076,4684,4.382142857142857,0.40430474669468763,28,109375,,8.451907724717607,3.332204510175204,7.860956364876389,
133,505700,2936.0,,,9688,4.11551724137931,0.22146113763530256,58,32500,115.0,9.178643285232928,4.060443010546419,7.984803389734406,4.74493212836325
134,525400,1795.0,48000.0,-0.96577,724,4.308333333333334,0.23537489971955397,12,29875,35.0,6.584791392385716,2.4849066497880004,7.492760300922379,3.5553480614894135
135,580500,2953.0,120000.0,0.216826,4524,4.227659574468085,0.3583338893546351,47,90968,,8.41715183723601,3.8501476017100584,7.990576881743923,
140,577200,3495.0,83800.0,-0.385083,12643,4.155384615384616,0.2815772667668977,65,45656,,9.444858981311897,4.174387269895637,8.15908865466791,
141,575300,3804.0,119200.0,0.231461,4226,4.35,0.39777353935830256,32,86013,,8.349011198176003,3.4657359027997265,8.24380842366528,
